Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
334,1255.98,241.63,6.0,1,2022-01-06,10010,BAR,1,4,T04
335,0.0,0.0,0.0,0,2022-01-06,10010,BAR,1,5,T04
336,289.99,121.59,5.0,1,2022-01-08,10010,BAR,1,1,T04
337,442.2,131.6,6.0,1,2022-01-08,10010,BAR,1,2,T04
338,480.72,90.5,4.0,1,2022-01-08,10010,BAR,1,3,T04
339,1635.81,262.96,7.0,1,2022-01-08,10010,BAR,1,4,T04
340,847.65,218.4,5.0,1,2022-01-08,10010,BAR,1,5,T04
341,0.0,0.0,0.0,0,2022-01-15,10010,BAR,1,1,T04
342,0.0,0.0,0.0,0,2022-01-15,10010,BAR,1,2,T04
343,0.0,0.0,0.0,0,2022-01-15,10010,BAR,1,3,T04
344,0.0,0.0,0.0,0,2022-01-15,10010,BAR,1,4,T04
345,0.0,0.0,0.0,0,2022-01-15,10010,BAR,1,5,T04
346,0.0,0.0,0.0,0,2022-01-17,10010,BAR,1,1,T04
347,0.0,0.0,0.0,0,2022-01-17,10010,BAR,1,2,T04
348,0.0,0.0,0.0,0,2022-01-17,10010,BAR,1,3,T04
349,0.0,0.0,0.0,0,2022-01-17,10010,BAR,1,4,T04
350,0.0,0.0,0.0,0,2022-01-17,10010,BAR,1,5,T04
351,0.0,0.0,0.0,0,2022-01-22,10010,BAR,1,1,T04
352,0.0,0.0,0.0,0,2022-01-22,10010,BAR,1,2,T04
353,0.0,0.0,0.0,0,2022-01-22,10010,BAR,1,3,T04
354,0.0,0.0,0.0,0,2022-01-22,10010,BAR,1,4,T04
355,0.0,0.0,0.0,0,2022-01-22,10010,BAR,1,5,T04
356,0.0,0.0,0.0,0,2022-01-24,10010,BAR,1,1,T04
357,0.0,0.0,0.0,0,2022-01-24,10010,BAR,1,2,T04
358,0.0,0.0,0.0,0,2022-01-24,10010,BAR,1,3,T04
359,0.0,0.0,0.0,0,2022-01-24,10010,BAR,1,4,T04
360,0.0,0.0,0.0,0,2022-01-24,10010,BAR,1,5,T04
361,158.28,74.97,4.0,1,2022-01-31,10010,BAR,1,1,T04
362,285.24,41.44,5.0,1,2022-01-31,10010,BAR,1,2,T04
363,27.61,14.27,4.0,1,2022-01-31,10010,BAR,1,3,T04
364,279.46,42.57,4.0,1,2022-01-31,10010,BAR,1,4,T04
365,0.0,0.0,0.0,0,2022-01-31,10010,BAR,1,5,T04
366,124.58,93.18,5.0,1,2022-02-02,10010,BAR,1,1,T04
367,368.84,53.59,5.0,1,2022-02-02,10010,BAR,1,2,T04
368,36.02,14.93,4.0,1,2022-02-02,10010,BAR,1,3,T04
